Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 44.28%, FPR: 0.93%, ACC: 93.06%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 26.76%, FPR: 0.17%, ACC: 91.81%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 19.41%, FPR: 0.07%, ACC: 91.09%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 13.93%, FPR: 0.03%, ACC: 90.52%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 20.69%, FPR: 0.09%, ACC: 91.21%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 14.17%, FPR: 0.04%, ACC: 90.55%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 9.54%, FPR: 0.02%, ACC: 90.06%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 18.50%, FPR: 0.08%, ACC: 90.99%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 12.39%, FPR: 0.03%, ACC: 90.36%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 8.24%, FPR: 0.01%, ACC: 89.92%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 40.57%, FPR: 0.63%, ACC: 92.92%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 32.86%, FPR: 0.31%, ACC: 92.36%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 26.84%, FPR: 0.16%, ACC: 91.83%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 22.81%, FPR: 0.11%, ACC: 91.44%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 15.80%, FPR: 0.04%, ACC: 90.72%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 10.68%, FPR: 0.02%, ACC: 90.18%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 13.00%, FPR: 0.04%, ACC: 90.42%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 7.82%, FPR: 0.01%, ACC: 89.87%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 4.30%, FPR: 0.01%, ACC: 89.49%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 9.35%, FPR: 0.02%, ACC: 90.03%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 5.05%, FPR: 0.01%, ACC: 89.57%
Metodo 9 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 2.62%, FPR: 0.00%, ACC: 89.31%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 73.15%, FPR: 5.09%, ACC: 92.52%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 66.76%, FPR: 2.98%, ACC: 93.70%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 59.95%, FPR: 1.87%, ACC: 93.94%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 72.53%, FPR: 4.81%, ACC: 92.71%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 65.59%, FPR: 2.86%, ACC: 93.68%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 59.55%, FPR: 1.82%, ACC: 93.94%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 72.37%, FPR: 4.76%, ACC: 92.73%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 65.47%, FPR: 2.84%, ACC: 93.68%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 59.46%, FPR: 1.80%, ACC: 93.95%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 72.08%, FPR: 4.63%, ACC: 92.81%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 65.09%, FPR: 2.73%, ACC: 93.74%
Metodo 9 -> Tamanho 5, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 58.81%, FPR: 1.73%, ACC: 93.94%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 70.62%, FPR: 4.15%, ACC: 93.08%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 63.62%, FPR: 2.53%, ACC: 93.76%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 57.45%, FPR: 1.62%, ACC: 93.89%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 66.28%, FPR: 3.29%, ACC: 93.37%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 58.86%, FPR: 2.06%, ACC: 93.65%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 52.76%, FPR: 1.37%, ACC: 93.60%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 65.46%, FPR: 3.26%, ACC: 93.30%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 57.99%, FPR: 2.04%, ACC: 93.57%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 51.73%, FPR: 1.36%, ACC: 93.50%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 65.05%, FPR: 3.19%, ACC: 93.33%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 57.41%, FPR: 2.01%, ACC: 93.54%
Metodo 9 -> Tamanho 5, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 51.43%, FPR: 1.34%, ACC: 93.48%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 70.10%, FPR: 4.02%, ACC: 93.14%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 63.28%, FPR: 2.45%, ACC: 93.79%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 56.82%, FPR: 1.56%, ACC: 93.87%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 61.66%, FPR: 2.78%, ACC: 93.31%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 54.17%, FPR: 1.75%, ACC: 93.41%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 47.77%, FPR: 1.15%, ACC: 93.25%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 58.15%, FPR: 2.50%, ACC: 93.18%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 50.48%, FPR: 1.57%, ACC: 93.17%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 43.86%, FPR: 1.02%, ACC: 92.93%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 56.93%, FPR: 2.42%, ACC: 93.12%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 49.19%, FPR: 1.52%, ACC: 93.07%
Metodo 9 -> Tamanho 5, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 42.53%, FPR: 0.99%, ACC: 92.81%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 70.10%, FPR: 4.02%, ACC: 93.14%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 63.28%, FPR: 2.45%, ACC: 93.79%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 56.82%, FPR: 1.56%, ACC: 93.87%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 58.44%, FPR: 2.40%, ACC: 93.30%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 50.84%, FPR: 1.50%, ACC: 93.27%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 44.24%, FPR: 0.97%, ACC: 93.02%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 51.24%, FPR: 1.91%, ACC: 92.95%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 43.51%, FPR: 1.17%, ACC: 92.76%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 36.26%, FPR: 0.73%, ACC: 92.36%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 47.57%, FPR: 1.70%, ACC: 92.74%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 39.51%, FPR: 1.02%, ACC: 92.45%
Metodo 9 -> Tamanho 5, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 32.09%, FPR: 0.61%, ACC: 92.00%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 81.43%, FPR: 10.81%, ACC: 88.34%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 73.95%, FPR: 6.54%, ACC: 91.32%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 68.07%, FPR: 4.21%, ACC: 92.75%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 80.80%, FPR: 10.11%, ACC: 88.89%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 73.10%, FPR: 6.16%, ACC: 91.57%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 66.87%, FPR: 4.01%, ACC: 92.80%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 80.68%, FPR: 10.02%, ACC: 88.96%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 73.02%, FPR: 6.11%, ACC: 91.60%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 66.76%, FPR: 3.99%, ACC: 92.80%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 79.59%, FPR: 9.71%, ACC: 89.12%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 73.12%, FPR: 5.94%, ACC: 91.76%
Metodo 9 -> Tamanho 7, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 66.81%, FPR: 3.88%, ACC: 92.91%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 79.22%, FPR: 8.77%, ACC: 89.91%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 71.61%, FPR: 5.40%, ACC: 92.08%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 65.66%, FPR: 3.62%, ACC: 93.01%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 73.30%, FPR: 6.53%, ACC: 91.26%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 66.68%, FPR: 4.29%, ACC: 92.53%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 60.52%, FPR: 2.94%, ACC: 93.05%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 72.54%, FPR: 6.37%, ACC: 91.31%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 66.19%, FPR: 4.22%, ACC: 92.53%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 60.31%, FPR: 2.97%, ACC: 93.00%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 71.95%, FPR: 6.23%, ACC: 91.37%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 65.62%, FPR: 4.14%, ACC: 92.54%
Metodo 9 -> Tamanho 7, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 59.28%, FPR: 2.89%, ACC: 92.96%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 78.68%, FPR: 8.44%, ACC: 90.14%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 70.66%, FPR: 5.17%, ACC: 92.18%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 64.60%, FPR: 3.49%, ACC: 93.01%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 69.38%, FPR: 5.60%, ACC: 91.66%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 62.92%, FPR: 3.78%, ACC: 92.56%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 56.95%, FPR: 2.65%, ACC: 92.91%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 66.45%, FPR: 5.18%, ACC: 91.71%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 59.67%, FPR: 3.53%, ACC: 92.43%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 53.91%, FPR: 2.50%, ACC: 92.72%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 65.46%, FPR: 5.11%, ACC: 91.66%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 58.81%, FPR: 3.50%, ACC: 92.37%
Metodo 9 -> Tamanho 7, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 53.37%, FPR: 2.51%, ACC: 92.65%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 78.68%, FPR: 8.44%, ACC: 90.14%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 70.66%, FPR: 5.17%, ACC: 92.18%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 64.60%, FPR: 3.49%, ACC: 93.01%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 66.76%, FPR: 5.11%, ACC: 91.80%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 59.95%, FPR: 3.45%, ACC: 92.54%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 54.06%, FPR: 2.42%, ACC: 92.81%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 61.79%, FPR: 4.60%, ACC: 91.71%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 55.17%, FPR: 3.16%, ACC: 92.27%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 49.02%, FPR: 2.24%, ACC: 92.41%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 59.32%, FPR: 4.43%, ACC: 91.59%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 52.65%, FPR: 3.07%, ACC: 92.07%
Metodo 9 -> Tamanho 7, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 46.72%, FPR: 2.18%, ACC: 92.22%
